user_id,persona_type,assigned_group,manual_perk,total_spend_manual,num_trips_manual,conversion_rate_manual,RFM_score_manual,browsing_rate_manual,business_rate_manual,cluster,segment_name,ml_perk,total_spend_ml,num_trips_ml,conversion_rate_ml,RFM_score_ml,browsing_rate_ml,business_rate_ml
281952,Solo,Hotel & Business Focused Travelers,free hotel meal,1605.74,2.0,0.25,1.0,0.75,1.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,1605.74,2.0,0.25,1.0,0.75,1.0
283325,Solo,High-Intent Browsers & Spenders,no cancellation fees,3699.886,2.0,0.25,7.0,0.75,0.0,3,High-Intent Browsers & Spenders,no cancellation fees,3699.886,2.0,0.25,7.0,0.75,0.0
290123,Group,VIP High-Frequency Spenders,1 night free hotel plus flight,12490.061428571427,7.0,0.7777777777777778,9.0,0.2222222222222222,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,12490.061428571427,7.0,0.7777777777777778,9.0,0.2222222222222222,0.0
297546,Business,VIP High-Frequency Spenders,1 night free hotel plus flight,6863.4400000000005,5.0,0.625,9.0,0.375,0.2,0,VIP High-Frequency Spenders,1 night free hotel plus flight,6863.4400000000005,5.0,0.625,9.0,0.375,0.2
298253,Family,Group & Family Travelers / Heavy Baggage,free checked bags,1424.84,1.0,0.125,1.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,1424.84,1.0,0.125,1.0,0.875,0.0
299476,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,455.76,1.0,0.1111111111111111,1.0,0.8888888888888888,1.0,3,High-Intent Browsers & Spenders,no cancellation fees,455.76,1.0,0.1111111111111111,1.0,0.8888888888888888,1.0
306165,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,,,1.0,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,,,1.0,
306819,Family,Hotel & Business Focused Travelers,free hotel meal,470.32,1.0,0.375,1.0,0.625,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,470.32,1.0,0.375,1.0,0.625,0.0
312488,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,814.2,1.0,0.125,1.0,0.875,0.0,4,Baseline Travelers,exclusive discounts,814.2,1.0,0.125,1.0,0.875,0.0
313724,Solo,High-Intent Browsers & Spenders,no cancellation fees,5530.68,4.0,0.75,7.0,0.25,0.0,1,Hotel & Business Focused Travelers,free hotel meal,5530.68,4.0,0.75,7.0,0.25,0.0
316527,Family,VIP High-Frequency Spenders,1 night free hotel plus flight,8754.08,4.0,0.5,8.0,0.5,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,8754.08,4.0,0.5,8.0,0.5,0.0
317688,Family,Baseline Travelers,exclusive discounts,3553.48,4.0,0.5,6.0,0.5,0.25,4,Baseline Travelers,exclusive discounts,3553.48,4.0,0.5,6.0,0.5,0.25
322867,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,1669.08,1.0,0.125,2.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,1669.08,1.0,0.125,2.0,0.875,0.0
324191,Solo,Baseline Travelers,exclusive discounts,1809.48,2.0,0.25,2.0,0.75,0.0,4,Baseline Travelers,exclusive discounts,1809.48,2.0,0.25,2.0,0.75,0.0
328590,Group,Hotel & Business Focused Travelers,free hotel meal,7004.15,2.0,0.5,5.0,0.5,0.0,1,Hotel & Business Focused Travelers,free hotel meal,7004.15,2.0,0.5,5.0,0.5,0.0
330764,Solo,Baseline Travelers,exclusive discounts,1094.0,2.0,0.5,1.0,0.5,0.0,4,Baseline Travelers,exclusive discounts,1094.0,2.0,0.5,1.0,0.5,0.0
330893,Family,High-Intent Browsers & Spenders,no cancellation fees,2473.22,3.0,0.375,4.0,0.625,0.3333333333333333,4,Baseline Travelers,exclusive discounts,2473.22,3.0,0.375,4.0,0.625,0.3333333333333333
331039,Family,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,0.0,4,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,
334787,Solo,High-Intent Browsers & Spenders,no cancellation fees,2362.895,3.0,0.375,4.0,0.625,0.6666666666666666,3,High-Intent Browsers & Spenders,no cancellation fees,2362.895,3.0,0.375,4.0,0.625,0.6666666666666666
337227,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,,,1.0,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,,,1.0,
338086,Family,High-Intent Browsers & Spenders,no cancellation fees,2115.38,2.0,0.25,1.0,0.75,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,2115.38,2.0,0.25,1.0,0.75,0.5
340166,Family,Group & Family Travelers / Heavy Baggage,free checked bags,474.0,1.0,0.125,1.0,0.875,0.0,1,Hotel & Business Focused Travelers,free hotel meal,474.0,1.0,0.125,1.0,0.875,0.0
343928,Solo,Baseline Travelers,exclusive discounts,9405.48,2.0,0.25,5.0,0.75,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,9405.48,2.0,0.25,5.0,0.75,0.0
347778,Group,VIP High-Frequency Spenders,1 night free hotel plus flight,12941.38,5.0,0.5555555555555556,14.0,0.4444444444444444,0.6,0,VIP High-Frequency Spenders,1 night free hotel plus flight,12941.38,5.0,0.5555555555555556,14.0,0.4444444444444444,0.6
348817,Solo,High-Intent Browsers & Spenders,no cancellation fees,5371.24,4.0,0.5,7.0,0.5,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,5371.24,4.0,0.5,7.0,0.5,0.5
348863,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,,,1.0,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,,,1.0,
349132,Group,Hotel & Business Focused Travelers,free hotel meal,4958.22,3.0,0.3333333333333333,6.0,0.6666666666666666,0.0,1,Hotel & Business Focused Travelers,free hotel meal,4958.22,3.0,0.3333333333333333,6.0,0.6666666666666666,0.0
350648,Solo,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,0.0,4,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,
353271,Family,Group & Family Travelers / Heavy Baggage,free checked bags,816.8,1.0,0.125,1.0,0.875,0.0,1,Hotel & Business Focused Travelers,free hotel meal,816.8,1.0,0.125,1.0,0.875,0.0
353694,Family,High-Intent Browsers & Spenders,no cancellation fees,2326.0550000000003,2.0,0.25,3.0,0.75,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,2326.0550000000003,2.0,0.25,3.0,0.75,0.5
354050,Business,VIP High-Frequency Spenders,1 night free hotel plus flight,5773.3968,5.0,0.625,8.0,0.375,0.2,0,VIP High-Frequency Spenders,1 night free hotel plus flight,5773.3968,5.0,0.625,8.0,0.375,0.2
354260,Solo,Hotel & Business Focused Travelers,free hotel meal,2850.02,2.0,0.25,2.0,0.75,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,2850.02,2.0,0.25,2.0,0.75,0.5
354311,Solo,Baseline Travelers,exclusive discounts,2436.7799999999997,2.0,0.25,2.0,0.75,0.0,4,Baseline Travelers,exclusive discounts,2436.7799999999997,2.0,0.25,2.0,0.75,0.0
354950,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,1683.08,1.0,0.125,2.0,0.875,0.0,1,Hotel & Business Focused Travelers,free hotel meal,1683.08,1.0,0.125,2.0,0.875,0.0
356046,Solo,Baseline Travelers,exclusive discounts,2272.62,2.0,0.25,2.0,0.75,0.0,4,Baseline Travelers,exclusive discounts,2272.62,2.0,0.25,2.0,0.75,0.0
357737,Family,High-Intent Browsers & Spenders,no cancellation fees,5155.5,4.0,0.75,7.0,0.25,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,5155.5,4.0,0.75,7.0,0.25,0.5
359072,Family,Baseline Travelers,exclusive discounts,713.3,2.0,0.5,1.0,0.5,0.0,4,Baseline Travelers,exclusive discounts,713.3,2.0,0.5,1.0,0.5,0.0
359080,Solo,VIP High-Frequency Spenders,1 night free hotel plus flight,11690.12,4.0,0.5,8.0,0.5,0.5,0,VIP High-Frequency Spenders,1 night free hotel plus flight,11690.12,4.0,0.5,8.0,0.5,0.5
359653,Solo,Hotel & Business Focused Travelers,free hotel meal,2217.86,2.0,0.25,2.0,0.75,1.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,2217.86,2.0,0.25,2.0,0.75,1.0
361459,Family,Group & Family Travelers / Heavy Baggage,free checked bags,952.82,1.0,0.125,1.0,0.875,0.0,4,Baseline Travelers,exclusive discounts,952.82,1.0,0.125,1.0,0.875,0.0
361759,Solo,Baseline Travelers,exclusive discounts,3440.8799999999997,4.0,0.4444444444444444,5.0,0.5555555555555556,0.25,4,Baseline Travelers,exclusive discounts,3440.8799999999997,4.0,0.4444444444444444,5.0,0.5555555555555556,0.25
363535,Solo,Baseline Travelers,exclusive discounts,1387.339,2.0,0.5,1.0,0.5,0.0,4,Baseline Travelers,exclusive discounts,1387.339,2.0,0.5,1.0,0.5,0.0
365825,Solo,Hotel & Business Focused Travelers,free hotel meal,1079.26,1.0,0.375,1.0,0.625,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,1079.26,1.0,0.375,1.0,0.625,0.0
371201,Family,Group & Family Travelers / Heavy Baggage,free checked bags,398.94,1.0,0.125,1.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,398.94,1.0,0.125,1.0,0.875,0.0
372970,Solo,High-Intent Browsers & Spenders,no cancellation fees,2730.6000000000004,2.0,0.25,2.0,0.75,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,2730.6000000000004,2.0,0.25,2.0,0.75,0.5
373489,Group,Group & Family Travelers / Heavy Baggage,free checked bags,12400.965,1.0,0.1111111111111111,5.0,0.8888888888888888,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,12400.965,1.0,0.1111111111111111,5.0,0.8888888888888888,0.0
374331,Solo,High-Intent Browsers & Spenders,no cancellation fees,6720.0,1.0,0.375,5.0,0.625,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,6720.0,1.0,0.375,5.0,0.625,0.0
374340,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,7932.38,1.0,0.1111111111111111,4.0,0.8888888888888888,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,7932.38,1.0,0.1111111111111111,4.0,0.8888888888888888,0.0
374341,Solo,High-Intent Browsers & Spenders,no cancellation fees,6840.0,3.0,0.375,7.0,0.625,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,6840.0,3.0,0.375,7.0,0.625,0.0
375160,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,,,1.0,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,,,1.0,
375729,Solo,High-Intent Browsers & Spenders,no cancellation fees,3219.5640000000003,3.0,0.375,5.0,0.625,0.3333333333333333,3,High-Intent Browsers & Spenders,no cancellation fees,3219.5640000000003,3.0,0.375,5.0,0.625,0.3333333333333333
375751,Solo,High-Intent Browsers & Spenders,no cancellation fees,2414.12,3.0,0.375,4.0,0.625,0.3333333333333333,4,Baseline Travelers,exclusive discounts,2414.12,3.0,0.375,4.0,0.625,0.3333333333333333
376159,Solo,Hotel & Business Focused Travelers,free hotel meal,1442.48,2.0,0.25,1.0,0.75,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,1442.48,2.0,0.25,1.0,0.75,0.0
377069,Solo,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,0.0,4,Baseline Travelers,exclusive discounts,0.0,0.0,0.25,,0.75,
377411,Solo,High-Intent Browsers & Spenders,no cancellation fees,3005.992,2.0,0.25,3.0,0.75,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,3005.992,2.0,0.25,3.0,0.75,0.5
378565,Family,VIP High-Frequency Spenders,1 night free hotel plus flight,9975.882,5.0,0.625,9.0,0.375,0.2,0,VIP High-Frequency Spenders,1 night free hotel plus flight,9975.882,5.0,0.625,9.0,0.375,0.2
379543,Solo,High-Intent Browsers & Spenders,no cancellation fees,3845.24,3.0,0.375,5.0,0.625,0.3333333333333333,4,Baseline Travelers,exclusive discounts,3845.24,3.0,0.375,5.0,0.625,0.3333333333333333
380434,Family,High-Intent Browsers & Spenders,no cancellation fees,3424.6749999999997,3.0,0.375,5.0,0.625,0.6666666666666666,3,High-Intent Browsers & Spenders,no cancellation fees,3424.6749999999997,3.0,0.375,5.0,0.625,0.6666666666666666
380436,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,820.5,1.0,0.125,1.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,820.5,1.0,0.125,1.0,0.875,0.0
380757,Family,Baseline Travelers,exclusive discounts,2136.383333333333,3.0,0.375,4.0,0.625,0.0,4,Baseline Travelers,exclusive discounts,2136.383333333333,3.0,0.375,4.0,0.625,0.0
380874,Solo,High-Intent Browsers & Spenders,no cancellation fees,2086.1,3.0,0.375,4.0,0.625,0.3333333333333333,4,Baseline Travelers,exclusive discounts,2086.1,3.0,0.375,4.0,0.625,0.3333333333333333
380949,Solo,High-Intent Browsers & Spenders,no cancellation fees,4688.18,4.0,0.75,7.0,0.25,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,4688.18,4.0,0.75,7.0,0.25,0.5
381259,Family,Group & Family Travelers / Heavy Baggage,free checked bags,1506.96,1.0,0.125,1.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,1506.96,1.0,0.125,1.0,0.875,0.0
381465,Solo,High-Intent Browsers & Spenders,no cancellation fees,3625.74,3.0,0.625,6.0,0.375,0.0,3,High-Intent Browsers & Spenders,no cancellation fees,3625.74,3.0,0.625,6.0,0.375,0.0
382181,Solo,High-Intent Browsers & Spenders,no cancellation fees,2818.08,3.0,0.375,4.0,0.625,0.3333333333333333,4,Baseline Travelers,exclusive discounts,2818.08,3.0,0.375,4.0,0.625,0.3333333333333333
382384,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,457.26,1.0,0.125,1.0,0.875,0.0,1,Hotel & Business Focused Travelers,free hotel meal,457.26,1.0,0.125,1.0,0.875,0.0
382533,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,,,1.0,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,,,1.0,
385689,Family,VIP High-Frequency Spenders,1 night free hotel plus flight,6022.686,4.0,0.5,8.0,0.5,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,6022.686,4.0,0.5,8.0,0.5,0.0
386255,Family,Group & Family Travelers / Heavy Baggage,free checked bags,2144.0,1.0,0.125,3.0,0.875,0.0,4,Baseline Travelers,exclusive discounts,2144.0,1.0,0.125,3.0,0.875,0.0
386469,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,0.0,0.0,,,1.0,0.0,1,Hotel & Business Focused Travelers,free hotel meal,0.0,0.0,,,1.0,
386914,Family,Hotel & Business Focused Travelers,free hotel meal,847.22,1.0,0.375,1.0,0.625,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,847.22,1.0,0.375,1.0,0.625,0.0
387282,Family,Group & Family Travelers / Heavy Baggage,free checked bags,3564.0,1.0,0.125,4.0,0.875,0.0,4,Baseline Travelers,exclusive discounts,3564.0,1.0,0.125,4.0,0.875,0.0
387783,Family,Baseline Travelers,exclusive discounts,3511.52,3.0,0.375,6.0,0.625,0.0,4,Baseline Travelers,exclusive discounts,3511.52,3.0,0.375,6.0,0.625,0.0
388328,Family,VIP High-Frequency Spenders,1 night free hotel plus flight,7252.299999999999,5.0,0.5555555555555556,9.0,0.4444444444444444,0.6,0,VIP High-Frequency Spenders,1 night free hotel plus flight,7252.299999999999,5.0,0.5555555555555556,9.0,0.4444444444444444,0.6
388767,Family,Group & Family Travelers / Heavy Baggage,free checked bags,2634.68,1.0,0.125,3.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,2634.68,1.0,0.125,3.0,0.875,0.0
388947,Weekender,Baseline Travelers,exclusive discounts,3076.477,3.0,0.3333333333333333,4.0,0.6666666666666666,0.0,4,Baseline Travelers,exclusive discounts,3076.477,3.0,0.3333333333333333,4.0,0.6666666666666666,0.0
389434,Weekender,Baseline Travelers,exclusive discounts,4652.5599999999995,4.0,0.75,11.0,0.25,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,4652.5599999999995,4.0,0.75,11.0,0.25,0.0
389662,Solo,Hotel & Business Focused Travelers,free hotel meal,2077.126,3.0,0.375,4.0,0.625,0.6666666666666666,3,High-Intent Browsers & Spenders,no cancellation fees,2077.126,3.0,0.375,4.0,0.625,0.6666666666666666
389759,Group,Hotel & Business Focused Travelers,free hotel meal,8561.262,3.0,0.375,7.0,0.625,0.0,0,VIP High-Frequency Spenders,1 night free hotel plus flight,8561.262,3.0,0.375,7.0,0.625,0.0
390811,Solo,Baseline Travelers,exclusive discounts,3476.04,3.0,0.375,5.0,0.625,0.0,4,Baseline Travelers,exclusive discounts,3476.04,3.0,0.375,5.0,0.625,0.0
392453,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,1914.562,1.0,0.125,2.0,0.875,0.0,2,Group & Family Travelers / Heavy Baggage,free checked bags,1914.562,1.0,0.125,2.0,0.875,0.0
395202,Solo,Group & Family Travelers / Heavy Baggage,free checked bags,2964.0,1.0,0.125,4.0,0.875,0.0,4,Baseline Travelers,exclusive discounts,2964.0,1.0,0.125,4.0,0.875,0.0
395981,Weekender,Hotel & Business Focused Travelers,free hotel meal,4954.796,3.0,0.375,6.0,0.625,0.0,4,Baseline Travelers,exclusive discounts,4954.796,3.0,0.375,6.0,0.625,0.0
396552,Solo,High-Intent Browsers & Spenders,no cancellation fees,1687.275,4.0,0.5,5.0,0.5,0.5,3,High-Intent Browsers & Spenders,no cancellation fees,1687.275,4.0,0.5,5.0,0.5,0.5
399137,Solo,VIP High-Frequency Spenders,1 night free hotel plus flight,8086.94,4.0,0.5,8.0,0.5,0.25,0,VIP High-Frequency Spenders,1 night free hotel plus flight,8086.94,4.0,0.5,8.0,0.5,0.25
399218,Family,Baseline Travelers,exclusive discounts,1221.8,2.0,0.25,1.0,0.75,0.0,4,Baseline Travelers,exclusive discounts,1221.8,2.0,0.25,1.0,0.75,0.0
